,minimum,maximum
MAR04899,-1000.0,1000.0
MAR04901,-1000.0,1000.0
MAR04909,0.0,0.0
MAR04918,-1000.0,1000.0
MAR04920,-1000.0,1000.0
MAR04921,-1000.0,1000.0
MAR04923,-1000.0,1000.0
MAR04925,0.0,0.0
MAR04927,-1000.0,1000.0
MAR04929,-1000.0,1000.0
MAR04936,0.0,1000.0
MAR04943,-1000.0,1000.0
MAR04950,-1000.0,0.0
MAR04965,0.0,0.0
MAR08386,-1000.0,1000.0
MAR08400,-0.007756440281030444,999.9984487119438
MAR08422,-1000.0,0.0
MAR08423,-1000.0,0.0
MAR08644,-1000.0,1000.0
MAR08646,-1000.0,1000.0
MAR08647,0.0,1000.0
MAR08649,0.0,1000.0
MAR08650,0.0,1000.0
MAR08701,-1000.0,0.0
MAR08705,-1000.0,0.0
MAR08707,-1000.0,0.0
MAR08708,0.0,1000.0
MAR08832,0.0,1000.0
MAR08916,0.0,1000.0
MAR08948,-1000.0,0.0
MAR08949,-1000.0,1000.0
MAR08950,-1000.0,0.0
MAR08951,0.0,1000.0
MAR08952,0.0,1000.0
MAR08953,0.0,1000.0
MAR08954,-1000.0,0.0
MAR08955,0.0,1000.0
MAR08956,0.0,1000.0
MAR08957,0.0,1000.0
MAR08958,-1000.0,1000.0
MAR08959,-1000.0,1000.0
MAR08960,-1000.0,1000.0
MAR08961,-1000.0,1000.0
MAR08962,-1000.0,1000.0
MAR08963,-1000.0,1000.0
MAR08964,-1000.0,1000.0
MAR08965,-1000.0,1000.0
MAR08966,-1000.0,1000.0
MAR08967,-1000.0,1000.0
MAR09010,-1000.0,1000.0
MAR09011,-1000.0,1000.0
MAR09012,-1000.0,1000.0
MAR09013,-1000.0,1000.0
MAR09021,-1000.0,1000.0
MAR09025,-1000.0,1000.0
MAR09026,-1000.0,1000.0
MAR09027,-1000.0,1000.0
MAR09028,0.0,1000.0
MAR09029,-1000.0,1000.0
MAR09842,-1000.0,1000.0
MAR09843,0.0,1000.0
MAR09844,-1000.0,1000.0
MAR09845,-1000.0,1000.0
MAR09846,-1000.0,1000.0
MAR09847,-1000.0,1000.0
MAR09848,-1000.0,1000.0
MAR09849,-1000.0,1000.0
MAR09850,-1000.0,1000.0
MAR09851,-1000.0,1000.0
MAR09852,-1000.0,1000.0
MAR09853,-1000.0,1000.0
MAR09854,-1000.0,1000.0
MAR09855,0.0,1000.0
MAR09856,-1000.0,1000.0
MAR09857,-1000.0,1000.0
MAR09858,-1000.0,1000.0
MAR09859,-1000.0,1000.0
MAR09860,-1000.0,1000.0
MAR09861,-1000.0,1000.0
MAR09862,-1000.0,1000.0
MAR09863,-1000.0,1000.0
MAR09864,-1000.0,1000.0
MAR09865,-1000.0,1000.0
MAR09866,-1000.0,1000.0
MAR09867,-1000.0,1000.0
MAR09868,-1000.0,1000.0
MAR09919,-1000.0,1000.0
MAR09920,-1000.0,1000.0
MAR09921,-1000.0,1000.0
MAR09922,-1000.0,1000.0
MAR09923,-1000.0,1000.0
MAR09924,-1000.0,1000.0
MAR09925,-1000.0,1000.0
MAR09926,-1000.0,1000.0
MAR09956,-1000.0,1000.0
MAR10145,-86.02123080053389,1000.0
MAR10179,-1000.0,1000.0
MAR10180,-1000.0,1000.0
MAR10181,-1000.0,1000.0
MAR10182,-1000.0,1000.0
MAR10183,-1000.0,1000.0
MAR10184,-1000.0,1000.0
MAR10185,-1000.0,1000.0
MAR10186,-1000.0,1000.0
MAR10187,-1000.0,1000.0
MAR10188,-1000.0,1000.0
MAR10189,-1000.0,1000.0
MAR10190,-1000.0,1000.0
MAR10191,-1000.0,1000.0
MAR10192,-1000.0,1000.0
MAR10193,-1000.0,1000.0
MAR10194,-1000.0,1000.0
MAR10195,-1000.0,1000.0
MAR10196,-1000.0,1000.0
MAR10197,-1000.0,1000.0
MAR10198,-1000.0,1000.0
MAR10199,-1000.0,1000.0
MAR10200,-1000.0,1000.0
MAR10201,-1000.0,1000.0
MAR10202,-1000.0,1000.0
MAR10203,-1000.0,1000.0
MAR10204,0.0,0.0
MAR10205,-1000.0,1000.0
MAR10206,-1000.0,1000.0
MAR10207,-1000.0,1000.0
MAR10208,-1000.0,1000.0
MAR10209,-1000.0,1000.0
MAR10210,-1000.0,1000.0
MAR10211,-1000.0,1000.0
MAR10212,-1000.0,1000.0
MAR10213,0.0,1000.0
MAR10214,-86.02123080053386,1000.0
MAR10215,-172.0424616010677,1000.0
MAR10216,-172.0424616010677,1000.0
MAR10217,-1000.0,1000.0
MAR10218,-1000.0,1000.0
MAR10219,-1000.0,1000.0
MAR10220,0.0,0.0
MAR10221,0.0,0.0
MAR10222,-1000.0,1000.0
MAR10223,-1000.0,1000.0
MAR10224,0.0,1000.0
MAR10225,-1000.0,1000.0
MAR10226,0.0,1000.0
MAR10227,-86.02123080053384,1000.0
MAR10228,0.0,1000.0
MAR10229,-1000.0,1000.0
MAR10230,-1000.0,1000.0
MAR10231,0.0,1000.0
MAR10232,-1000.0,1000.0
MAR10233,0.0,1000.0
MAR10234,-1000.0,1000.0
MAR10235,-1000.0,1000.0
MAR10236,0.0,0.0
MAR10237,0.0,0.0
MAR10238,0.0,0.0
MAR10239,0.0,0.0
MAR10240,-1000.0,1000.0
MAR10241,-1000.0,1000.0
MAR10242,-1000.0,1000.0
MAR10243,-1000.0,1000.0
MAR10244,0.0,0.0
MAR10245,-1000.0,0.0
MAR10246,-1000.0,1000.0
MAR10247,-1000.0,1000.0
MAR10248,-1000.0,1000.0
MAR10249,-1000.0,1000.0
MAR10250,-1000.0,1000.0
MAR10251,-1000.0,1000.0
MAR10252,-1000.0,1000.0
MAR10253,0.0,0.0
MAR10254,-1000.0,1000.0
MAR10255,-1000.0,1000.0
MAR10256,-1000.0,555.5555555555555
MAR10257,0.0,0.0
MAR10258,0.0,0.0
MAR10259,0.0,0.0
MAR10260,0.0,0.0
MAR10261,0.0,0.0
MAR10262,-1000.0,1000.0
MAR10263,-1000.0,1000.0
MAR10264,-1000.0,1000.0
MAR10265,-1000.0,1000.0
MAR10266,0.0,0.0
MAR10267,0.0,0.0
MAR10268,0.0,0.0
MAR10269,0.0,0.0
MAR10270,-1000.0,0.0
MAR10271,-1000.0,0.0
